ID,Name,RA,DEC,Vmag,Type,Size,Catalog,ObjectType,Constellation,NGC_IC
M1,Crab Nebula,5.575,22.0167,8.4,SNR,0.1,Messier,DSO,Tau,NGC 1952
M2,M2,21.55,-0.8167,6.5,GC,0.26666666666666666,Messier,DSO,Aqr,NGC 7089
M3,M3,13.7,28.3833,6.2,GC,0.26666666666666666,Messier,DSO,CVn,NGC 5272
M4,M4,16.4,-26.5333,5.9,GC,0.43333333333333335,Messier,DSO,Sco,NGC 6121
M5,M5,15.3,2.0833,5.8,GC,0.2833333333333333,Messier,DSO,Ser,NGC 5904
M6,Butterfly Cluster,17.6667,-32.2167,4.2,OC,0.4166666666666667,Messier,DSO,Sco,NGC 6405
M7,Ptolemy's Cluster,17.8833,-34.8167,3.3,OC,1.3333333333333333,Messier,DSO,Sco,NGC 6475
M8,Lagoon Nebula,18.05,-24.3833,6.0,EN+OC,1.5,Messier,DSO,Sgr,NGC 6523
M9,M9,17.3167,-18.5167,7.9,GC,0.15,Messier,DSO,Oph,NGC 6333
M10,M10,16.95,-4.1,6.6,GC,0.25,Messier,DSO,Oph,NGC 6254
M11,Wild Duck Cluster,18.85,-6.2667,5.8,OC,0.23333333333333334,Messier,DSO,Sct,NGC 6705
M12,M12,16.7833,-1.95,6.6,GC,0.23333333333333334,Messier,DSO,Oph,NGC 6218
M13,Hercules Globular Cluster,16.7167,36.4667,5.9,GC,0.2833333333333333,Messier,DSO,Her,NGC 6205
M14,M14,17.6167,-3.25,7.6,GC,0.18333333333333332,Messier,DSO,Oph,NGC 6402
M15,M15,21.5,12.1667,6.2,GC,0.2,Messier,DSO,Peg,NGC 7078
M16,Eagle Nebula,18.3167,-13.7833,6.0,EN+OC,0.11666666666666667,Messier,DSO,Ser,NGC 6611
M17,Omega Nebula,18.35,-16.1833,6.0,EN+OC,0.7666666666666667,Messier,DSO,Sgr,NGC 6618
M18,M18,18.3333,-17.1333,6.9,OC,0.15,Messier,DSO,Sgr,NGC 6613
M19,M19,17.0333,-26.2667,7.2,GC,0.21666666666666667,Messier,DSO,Oph,NGC 6273
M20,Trifid Nebula,18.05,-23.0333,6.3,EN+OC,0.4666666666666667,Messier,DSO,Sgr,NGC 6514
M21,M21,18.5167,-22.5,5.9,GC,0.21666666666666667,Messier,DSO,Sgr,NGC 6531
M22,Sagittarius Cluster,18.6,-23.9,5.1,GC,0.4,Messier,DSO,Sgr,NGC 6656
M23,M23,17.9333,-18.9833,5.5,OC,0.45,Messier,DSO,Sgr,NGC 6494
M24,Sagittarius Star Cloud,18.3,-18.4167,4.5,MW,1.5,Messier,DSO,Sgr,IC 4715
M25,M25,18.5167,-19.25,4.6,OC,0.5333333333333333,Messier,DSO,Sgr,IC 4725
M26,M26,18.75,-9.4,8.0,OC,0.25,Messier,DSO,Sct,NGC 6694
M27,Dumbbell Nebula,19.9833,22.7167,7.4,PN,0.13333333333333333,Messier,DSO,Vul,NGC 6853
M28,M28,18.4,-24.8667,6.9,GC,0.18333333333333332,Messier,DSO,Sgr,NGC 6626
M29,M29,20.4,38.5333,6.6,OC,0.11666666666666667,Messier,DSO,Cyg,NGC 6913
M30,M30,21.6667,-23.1833,7.7,GC,0.18333333333333332,Messier,DSO,Cap,NGC 7099
M31,Andromeda Galaxy,0.7,41.2667,3.4,GX,2.966666666666667,Messier,DSO,And,NGC 224
M32,M32,0.7,40.8667,8.2,GC,0.13333333333333333,Messier,DSO,And,NGC 221
M33,Triangulum Galaxy,1.5667,30.65,5.7,GX,1.2166666666666666,Messier,DSO,Tri,NGC 598
M34,M34,2.7,42.7833,5.2,OC,0.5833333333333334,Messier,DSO,Per,NGC 1039
M35,M35,6.15,24.35,5.1,OC,0.4666666666666667,Messier,DSO,Gem,NGC 2168
M36,M36,5.6,34.1333,6.0,OC,0.2,Messier,DSO,Aur,NGC 1960
M37,M37,5.8667,32.55,5.6,OC,0.4,Messier,DSO,Aur,NGC 2099
M38,M38,5.4667,35.8333,6.4,OC,0.35,Messier,DSO,Aur,NGC 1912
M39,M39,21.5333,48.4333,4.6,OC,0.5333333333333333,Messier,DSO,Cyg,NGC 7092
M40,Winnecke 4,12.3667,58.0833,8.4,DS,0.013333333333333334,Messier,DSO,UMa,WNC 4
M41,M41,6.7667,-20.7333,4.5,OC,0.6333333333333333,Messier,DSO,CMa,NGC 2287
M42,Orion Nebula,5.5833,-5.3833,4.0,EN+OC,1.4166666666666667,Messier,DSO,Ori,NGC 1976
M43,De Mairan's Nebula,5.5833,-5.2667,9.0,EN,0.3333333333333333,Messier,DSO,Ori,NGC 1982
M44,Beehive Cluster,8.6667,19.9833,3.1,OC,1.5833333333333333,Messier,DSO,Cnc,NGC 2632
M45,Pleiades,3.7833,24.1167,1.2,OC,1.8333333333333333,Messier,DSO,Tau,Mel 22
M46,M46,7.7,-14.8167,6.1,OC,0.45,Messier,DSO,Pup,NGC 2437
M47,M47,7.6167,-14.5,4.4,OC,0.5,Messier,DSO,Pup,NGC 2422
M48,M48,8.2333,-5.8,5.8,OC,0.9,Messier,DSO,Hya,NGC 2548
M49,M49,12.5,8.0,8.4,GX,0.15,Messier,DSO,Vir,NGC 4472
M50,M50,7.0333,-8.3333,5.9,OC,0.26666666666666666,Messier,DSO,Mon,NGC 2323
M51,Whirlpool Galaxy,13.5,47.2,8.4,GX,0.18333333333333332,Messier,DSO,CVn,NGC 5194
M52,M52,23.4,61.5833,6.9,OC,0.21666666666666667,Messier,DSO,Cas,NGC 7654
M53,M53,13.2167,18.1667,7.7,GC,0.21666666666666667,Messier,DSO,Com,NGC 5024
M54,M54,18.9167,-30.4833,7.7,GC,0.15,Messier,DSO,Sgr,NGC 6715
M55,M55,19.6667,-30.9667,7.0,GC,0.31666666666666665,Messier,DSO,Sgr,NGC 6809
M56,M56,19.2667,30.1833,8.3,GC,0.11666666666666667,Messier,DSO,Lyr,NGC 6779
M57,Ring Nebula,18.8833,33.0333,8.8,PN,0.02333333333333333,Messier,DSO,Lyr,NGC 6720
M58,M58,17.5333,-30.4833,9.2,GC,0.15,Messier,DSO,Sgr,NGC 6645
M59,M59,17.75,11.8167,9.6,GC,0.15,Messier,DSO,Sgr,NGC 6638
M60,M60,17.65,-1.0333,8.8,GC,0.11666666666666667,Messier,DSO,Sgr,NGC 6637
M61,M61,12.3667,4.4667,9.7,GX,0.1,Messier,DSO,Vir,NGC 4303
M62,M62,17.0167,-30.1167,6.6,GC,0.23333333333333334,Messier,DSO,Oph,NGC 6266
M63,Sunflower Galaxy,13.2667,42.0333,8.6,GX,0.16666666666666666,Messier,DSO,CVn,NGC 5055
M64,Black Eye Galaxy,12.7333,21.6833,8.5,GX,0.15,Messier,DSO,Com,NGC 4826
M65,M65,11.3167,13.0833,9.3,GX,0.13333333333333333,Messier,DSO,Leo,NGC 3623
M66,M66,11.3333,12.9833,9.0,GX,0.13333333333333333,Messier,DSO,Leo,NGC 3627
M67,M67,8.8333,11.8333,6.9,OC,0.5,Messier,DSO,Cnc,NGC 2682
M68,M68,12.6667,-26.75,8.2,GC,0.2,Messier,DSO,Hya,NGC 4590
M69,M69,18.5333,-32.35,7.7,GC,0.11666666666666667,Messier,DSO,Sgr,NGC 6637
M70,M70,18.9,-32.3,8.1,GC,0.13333333333333333,Messier,DSO,Sgr,NGC 6681
M71,M71,19.9,18.7833,8.3,GC,0.11666666666666667,Messier,DSO,Sge,NGC 6838
M72,M72,20.8833,-12.5333,9.4,GC,0.1,Messier,DSO,Aqr,NGC 6981
M73,M73,20.9833,-12.6333,8.9,OC,0.04666666666666666,Messier,DSO,Aqr,NGC 6994
M74,M74,1.6167,15.7833,9.2,GX,0.16666666666666666,Messier,DSO,Psc,NGC 628
M75,M75,20.1,-21.9167,8.6,GC,0.1,Messier,DSO,Sgr,NGC 6864
M76,Little Dumbbell Nebula,1.7,51.5667,10.1,PN,0.045000000000000005,Messier,DSO,Per,NGC 650
M77,M77,2.7,0.4,8.9,GX,0.11666666666666667,Messier,DSO,Cet,NGC 1068
M78,M78,5.7667,0.05,8.0,EN,0.13333333333333333,Messier,DSO,Ori,NGC 2068
M79,M79,5.4,-24.5333,8.0,GC,0.15,Messier,DSO,Lep,NGC 1904
M80,M80,16.2833,-22.9833,7.3,GC,0.15,Messier,DSO,Sco,NGC 6093
M81,Bode's Nebula,9.9333,69.0667,6.9,GX,0.35,Messier,DSO,UMa,NGC 3031
M82,Cigar Galaxy,9.9333,69.6833,8.4,GX,0.15,Messier,DSO,UMa,NGC 3034
M83,Southern Pinwheel Galaxy,13.6167,-29.8667,7.6,GX,0.18333333333333332,Messier,DSO,Hya,NGC 5236
M84,M84,12.25,12.8833,9.1,GX,0.08333333333333333,Messier,DSO,Vir,NGC 4374
M85,M85,12.25,18.1833,9.1,GX,0.11666666666666667,Messier,DSO,Com,NGC 4382
M86,M86,12.4333,12.95,8.9,GX,0.11666666666666667,Messier,DSO,Vir,NGC 4406
M87,M87,12.5,12.3833,8.6,GX,0.11666666666666667,Messier,DSO,Vir,NGC 4486
M88,M88,12.5333,14.4167,9.6,GX,0.11666666666666667,Messier,DSO,Com,NGC 4501
M89,M89,12.5833,12.55,9.8,GX,0.06666666666666667,Messier,DSO,Vir,NGC 4552
M90,M90,12.6667,13.1667,9.5,GX,0.15,Messier,DSO,Vir,NGC 4569
M91,M91,12.5833,14.5,10.2,GC,0.18333333333333332,Messier,DSO,Com,NGC 4548
M92,M92,17.2833,43.1333,6.5,GC,0.18333333333333332,Messier,DSO,Her,NGC 6341
M93,M93,7.7333,-23.8667,6.2,OC,0.36666666666666664,Messier,DSO,Pup,NGC 2447
M94,Cat's Eye Galaxy,12.8333,41.1333,8.2,GX,0.11666666666666667,Messier,DSO,CVn,NGC 4736
M95,M95,10.7333,11.7,9.7,GX,0.07333333333333333,Messier,DSO,Leo,NGC 3351
M96,M96,10.7667,11.8167,9.2,GX,0.1,Messier,DSO,Leo,NGC 3368
M97,Owl Nebula,11.1667,55.0167,9.9,PN,0.056666666666666664,Messier,DSO,UMa,NGC 3587
M98,M98,12.2167,14.9,10.1,GX,0.08333333333333333,Messier,DSO,Com,NGC 4192
M99,M99,12.3,14.4167,9.9,GX,0.08333333333333333,Messier,DSO,Com,NGC 4254
M100,M100,12.3833,15.7833,9.3,GX,0.11666666666666667,Messier,DSO,Com,NGC 4321
M101,Pinwheel Galaxy,14.05,54.35,7.9,GX,0.45,Messier,DSO,UMa,NGC 5457
M102,Spindle Galaxy,15.0833,55.7667,10.0,GX,0.08333333333333333,Messier,DSO,Dra,NGC 5866
M103,M103,1.55,60.7,7.4,OC,0.1,Messier,DSO,Cas,NGC 581
M104,Sombrero Galaxy,12.6667,-11.6167,8.0,GX,0.15,Messier,DSO,Vir,NGC 4594
M105,M105,10.7833,12.5833,9.3,GX,0.03333333333333333,Messier,DSO,Leo,NGC 3379
M106,M106,12.3,47.3,8.4,GX,0.31666666666666665,Messier,DSO,CVn,NGC 4258
M107,M107,16.5333,-13.05,8.1,GC,0.16666666666666666,Messier,DSO,Oph,NGC 6171
M108,M108,11.1833,55.6667,10.0,GX,0.13333333333333333,Messier,DSO,UMa,NGC 3556
M109,M109,12.0167,29.85,9.8,GX,0.11666666666666667,Messier,DSO,UMa,NGC 3992
M110,M110,0.6667,41.6833,8.5,GX,0.2833333333333333,Messier,DSO,And,NGC 205
